84477440,84477503,167971072,167971327,0


50855936,51118079,167772160,168296447,0


0,268435455,0,2147483647,0
0,536870911,168034304,168165375,0

67108864,67633151,0,4294967295,0
0,4294967295,134217728,138412031,0
168427776,168427807,0,4294967295,0
33949696,33950719,0,4294967295,0
0,1073741823,0,2147483647,0
0,134217727,0,4294967295,0
0,2147483647,0,1073741823,0
0,1073741823,0,4294967295,0
0,4294967295,151061504,151061519,0
0,2147483647,0,4294967295,0
0,4294967295,151323904,151323919,0
0,4294967295,168427520,168493055,0
0,4294967295,150994944,159383551,0
0,4294967295,134217728,268435455,0
0,4294967295,0,536870911,0
0,4294967295,0,4294967295,0
